name;countryCode;xCoord;yCoord;zCoord;notes
Gostivar;MK;41910;-30;48410;inaccessible
Lučko;HR;19690;-20;28030;inaccessible
Boljevac;RS;45600;-40;36620;inaccessible
Dupljane;RS;46160;-20;41700;inaccessible
Džep;RS;46230;0;41010;inaccessible
Leskovac;RS;44890;-20;40930;inaccessible
Spodnje Hoče;SI;18800;-10;23520;inaccessible
Škedenj;SI;18350;-30;24620;inaccessible
Bremerhaven;DE;-5050;-30;-17250;
Niestetal;DE;-1310;40;-3490;
Ratingen;DE;-12480;20;-4620;
Dus'yevo;RU;64420;-20;-58390;HoR
Gostinopol'ye;RU;64810;-30;-57250;HoR
Khvalovo;RU;67190;-20;-59750;HoR
Maksakov Bor;RU;60240;-30;-44520;HoR
Porkhov;RU;60370;-20;-45300;HoR
Porogi;RU;65260;-30;-58100;HoR
Shimsk;RU;63560;-30;-49400;HoR
Sol'tsy;RU;62330;-30;-47870;HoR
Ust'-Shomushka;RU;67950;-20;-59020;HoR
Yushkovo;RU;64680;-30;-59920;HoR
Zaklin'ye;RU;61410;-30;-50080;HoR
Maria Alm;AT;8600;-20;19670;inaccessible
Schwechat;AT;21830;20;15100;inaccessible
Wals;AT;8100;0;15280;inaccessible
Basel;CH;-11750;10;16720;inaccessible
Bourg-Saint-Pierre;CH;-13750;90;24490;inaccessible
Kloten;CH;-8200;20;15140;inaccessible
La Chaux-de-Fonds;CH;-15310;0;18900;inaccessible
Martigny-Croix;CH;-15320;50;24100;inaccessible
Uulu;EE;44950;-40;-43960;inaccessible
Mérida;ES;-78710;-30;53890;inaccessible
Solares;ES;-60610;0;33140;inaccessible
Aura;FI;38310;-40;-57700;inaccessible
Hauho;FI;43330;-40;-60350;inaccessible
Bassens;FR;-46040;0;26650;
La Turbie;FR;-13590;10;37580;inaccessible
Montargis;FR;-31380;0;11600;inaccessible
Rodez;FR;-33970;0;31890;inaccessible
Tanlay;FR;-24640;-10;13100;inaccessible
Nemetin;HR;32130;-30;28530;inaccessible
Falconara;IT;9180;-30;39780;inaccessible
Marta;IT;4110;-20;46570;inaccessible
Montalto di Castro;IT;2500;-30;46670;inaccessible
Grigiškės;LT;48420;-30;-24180;inaccessible
Jaunmārupe;LV;43530;-30;-35780;inaccessible
Drammen;NO;2280;-30;-51460;inaccessible
Șoimuș;RO;47420;-30;24100;inaccessible
Urziceni;RO;63600;-30;28260;inaccessible
Kingisepp;RU;55580;-40;-52730;inaccessible
Muratbey;TR;72070;0;46600;inaccessible
Pejë;XK;38720;-20;44570;inaccessible
Elbasan;AL;38810;-10;53110;
Kamëz;AL;37580;-20;50360;
Kashar;AL;37920;-20;50950;
Luz;AL;38000;-30;49520;
Papër;AL;37980;-20;53150;
Vorë;AL;37350;-30;51230;
Bischofshofen;AT;10570;0;19720;
Bregenz;AT;-3710;-10;18500;
Großwilfersdorf;AT;21880;-30;20830;
Heiligenblut am Großglockner;AT;8570;10;22780;
Höchst;AT;-4340;0;18500;
Höfl-Zachhof;AT;9020;20;20420;
Leithen;AT;-60;80;18330;
Lendorf;AT;10090;-30;20830;
Leogang;AT;7200;-20;18570;
Mauthausen;AT;15410;10;13880;
Michelhofen;AT;9830;-10;23230;
Pyburg;AT;15310;20;14200;
Rems;AT;14750;20;14390;
Saalfelden am Steinernen Meer;AT;8000;-20;19150;
St. Michael;AT;15220;0;18600;
Stockerau;AT;20660;0;12270;
Thal;AT;17080;0;20100;
Unterweitersdorf;AT;14870;30;13620;
Vösendorf;AT;20960;10;16080;
Wiener Neudorf;AT;21130;10;16900;
Winklern;AT;9110;0;22660;
Wolfsthal;AT;23090;20;13820;
Bosanski Petrovac;BA;22100;0;34210;
Buna;BA;28520;-20;41680;
Čapljina;BA;28010;-30;42170;
Doboj;BA;29550;-40;33100;
Donji Vakuf;BA;26320;-20;36410;
Husino;BA;31370;-40;34510;
Jajce;BA;25720;-20;35080;
Jezero;BA;24150;0;35010;
Lukavac;BA;30220;-40;33820;
Memići;BA;33450;-30;34670;
Pritoka;BA;21270;-20;33670;
Semizovac;BA;30460;-10;36770;
Stolac;BA;29200;10;42770;
Trebinje;BA;31070;30;44130;
Vitez;BA;28120;-10;36780;
Debelt;BG;66930;-40;42510;
German;BG;51200;-10;44180;
Kostinbrod;BG;50340;-20;41100;
Montana;BG;50740;-40;38060;
Petrohan;BG;50840;30;39620;
Polsko Kosovo;BG;60390;-10;37400;
Pomorie;BG;69970;-40;39350;
Razgrad;BG;63980;-10;36110;
Ruzhintsi;BG;48100;-30;36550;
Sredets;BG;66250;-40;42520;
Staro Oryahovo;BG;69370;-20;38510;
Zlatitsa;BG;55210;-20;42080;
Zlatna Panega;BG;54680;-30;38050;
Belvédère;CH;-10710;160;22230;
Carouge;CH;-17620;-10;24200;
Le Locle;CH;-16040;0;19670;
Meyrin;CH;-19080;20;23020;
Obergoms;CH;-10430;0;23500;
Plan-les-Ouates;CH;-18600;10;23950;
Realp;CH;-8930;40;21310;
Sembrancher;CH;-14610;90;24290;
St. Margrethen;CH;-4640;0;18810;
Susten;CH;-11550;0;23420;
Vernier;CH;-18050;20;23530;
Versoix;CH;-16130;-10;22400;
Ahrensfelde;DE;11060;0;-11100;
Dorfmark;DE;-1260;-10;-12830;
Elxleben;DE;1320;0;-2830;
Erlangen;DE;560;10;4740;
Ettal;DE;270;40;16340;
Garmisch-Partenkirchen;DE;950;10;16940;
